net,scheme,overhead,p,nodes,reachable,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
38,rand_st,none,0.02,100,1.0,16.0,535.093195959596,0.061969696969696966,0.9915151515151515,114.95176252319109,205.0,92.84,99.0,0.0,1.0,0,0.0,1.0
39,rand_st,none,0.02,100,1.0,15.0,532.7171595959596,0.06294680134680135,0.94420202020202,100.8125,212.0,93.524,99.0,0.0,1.0,0,0.0,1.0
40,rand_st,none,0.02,100,1.0,16.0,535.6570868686869,0.0626590909090909,1.0025454545454544,140.30927835051546,206.0,92.748,99.0,0.0,1.0,0,0.0,1.0
41,rand_st,none,0.02,100,1.0,15.0,533.8356242424243,0.06447138047138047,0.9670707070707071,84.61036468330134,208.0,93.26,99.0,0.0,1.0,0,0.0,1.0
42,rand_st,none,0.02,100,1.0,15.0,533.952101010101,0.06484848484848486,0.9727272727272727,144.545871559633,305.0,93.7,99.0,0.0,1.0,0,0.0,1.0
43,rand_st,none,0.02,96,0.96,18.0,534.2651284210527,0.05387134502923977,0.9696842105263158,135.77004219409284,305.0,88.88,95.0,0.0,1.0,0,0.0,1.0
44,rand_st,none,0.02,100,1.0,16.0,532.5042181818183,0.058848484848484844,0.9415757575757575,87.75619834710744,207.0,93.784,99.0,0.0,1.0,0,0.0,1.0
45,rand_st,none,0.02,100,1.0,15.0,535.1366181818182,0.06645925925925926,0.9968888888888889,117.59205020920503,207.0,93.308,99.0,0.0,1.0,0,0.0,1.0
46,rand_st,none,0.02,99,0.99,16.0,533.9084775510205,0.060778061224489796,0.9724489795918367,87.25550660792952,202.0,92.7,98.0,0.0,1.0,0,0.0,1.0
47,rand_st,none,0.02,100,1.0,17.0,530.6805575757576,0.052634581105169345,0.8947878787878788,104.39112050739958,208.0,93.416,99.0,0.0,1.0,0,0.0,1.0
48,rand_st,none,0.02,99,0.99,18.0,531.6397714285715,0.05116099773242629,0.9208979591836735,87.25992063492063,203.0,92.752,98.0,0.0,1.0,0,0.0,1.0
49,rand_st,none,0.02,100,1.0,16.0,531.7171676767678,0.05764393939393939,0.9223030303030303,104.30246913580247,211.0,93.692,99.0,0.0,1.0,0,0.0,1.0
0,rand_st,none,0.05,99,0.99,19.0,539.953624489796,0.054689581095596136,1.0391020408163265,115.68085106382979,303.0,85.168,98.0,0.0,1.0,0,0.0,1.0
1,rand_st,none,0.05,100,1.0,15.0,541.4338545454546,0.07063434343434344,1.0595151515151515,133.39685169842585,304.0,85.108,99.0,0.0,1.0,0,0.0,1.0
2,rand_st,none,0.05,100,1.0,17.0,539.587591919192,0.060342245989304814,1.025818181818182,101.09886547811993,216.0,85.444,99.0,0.0,1.0,0,0.0,1.0
3,rand_st,none,0.05,99,0.99,16.0,538.7147918367348,0.06351020408163266,1.0161632653061226,103.75490196078431,212.0,85.416,98.0,0.0,1.0,0,0.0,1.0
4,rand_st,none,0.05,100,1.0,16.0,540.2385454545454,0.06512626262626263,1.042020202020202,151.11541501976285,311.0,85.84,99.0,0.0,1.0,0,0.0,1.0
5,rand_st,none,0.05,97,0.97,17.0,538.8401666666667,0.05947058823529412,1.011,118.18337408312958,211.0,82.944,96.0,0.0,1.0,0,0.0,1.0
6,rand_st,none,0.05,100,1.0,19.0,540.8089050505051,0.05551089845826688,1.0547070707070707,115.65648224607762,308.0,85.584,99.0,0.0,1.0,0,0.0,1.0
7,rand_st,none,0.05,100,1.0,15.0,537.7549535353535,0.06631380471380471,0.9947070707070707,85.71601941747574,213.0,86.524,99.0,0.0,1.0,0,0.0,1.0
8,rand_st,none,0.05,100,1.0,21.0,536.086088888889,0.04602405002405003,0.9665050505050505,60.50287592440427,121.0,87.316,99.0,0.0,1.0,0,0.0,1.0
