net,traffic,scheme,lam,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
0,intermittent,dbaps,0.0,15.64,542.9827224489796,0.05932018450526538,0.9228979591836735,27.98867084766336,114.0,35.608,66.508,0.4731738849385908,0.7996443390634262,0,0.15213433137770585,1.0
1,intermittent,dbaps,0.0,14.732,549.0818383838384,0.06846639950463479,1.0064646464646465,28.151599443671767,115.0,33.788,69.68,0.4696955846055398,0.7988523104802174,0,0.14921517981323265,1.0
2,intermittent,dbaps,0.0,16.108,549.5003757575757,0.06273591286594382,1.0083636363636364,27.752510128589044,115.0,32.212,70.6,0.46792683994049183,0.8080041851948732,0,0.14549938347718866,1.0
3,intermittent,dbaps,0.0,14.168,543.4356448979592,0.06564872168647679,0.9286938775510205,26.13002600520104,113.0,35.364,67.688,0.47170723843301626,0.8066221480244853,0,0.15083016603320665,1.0
4,intermittent,dbaps,0.0,14.084,542.6617696969698,0.0653835842806431,0.9194747474747476,28.63648322736242,114.0,36.672,67.12,0.4734516704131463,0.7954613317408181,0,0.167068625301469,1.0
5,intermittent,dbaps,0.0,15.108,543.7569833333334,0.06171819392821232,0.9295,25.228080931943595,113.0,34.148,66.42,0.476511610085064,0.8109965635738832,0,0.13345595749029227,1.0
6,intermittent,dbaps,0.0,15.324,546.5081898989899,0.06357279445318662,0.9719595959595958,27.345454545454544,114.0,33.94,68.504,0.4741799553829629,0.8148366205475419,0,0.14606741573033707,1.0
7,intermittent,dbaps,0.0,14.02,542.4353939393941,0.0650074241662477,0.910020202020202,27.446456692913387,113.0,35.872,67.936,0.4704134885588117,0.8044795783926219,0,0.16043307086614172,1.0
8,intermittent,dbaps,0.0,17.096,540.8560080808082,0.05203144865301728,0.8872727272727272,27.78339278636544,115.0,36.388,68.1,0.47354763100619457,0.8078087167070218,0,0.1458581054300436,1.0
9,intermittent,dbaps,0.0,15.664,542.2156000000001,0.05831848057916169,0.9099797979797979,29.58783783783784,116.0,37.14,67.888,0.47249165209095245,0.7983635300993571,0,0.16279560810810811,1.0
10,intermittent,dbaps,0.0,15.94,547.040501010101,0.062000587596098444,0.9821818181818183,27.91343226788432,116.0,35.072,68.712,0.4706928549334983,0.8035620743844945,0,0.1537290715372907,1.0
11,intermittent,dbaps,0.0,16.676,544.7657979797981,0.057070446781747095,0.9478383838383839,28.753749013417522,116.0,35.256,68.86,0.47155963302752296,0.8054131054131054,0,0.14936858721389107,1.0
12,intermittent,dbaps,0.0,14.128,541.637785858586,0.06411184828243652,0.9024646464646464,26.289772727272727,113.0,36.484,67.172,0.47641509433962265,0.8000643915003219,0,0.14838286713286714,1.0
13,intermittent,dbaps,0.0,14.788,544.0701373737375,0.06326741548212136,0.934909090909091,26.33366434955313,113.0,35.388,68.6,0.4743307086614173,0.8152112676056338,0,0.1451837140019861,1.0
14,intermittent,dbaps,0.0,14.156,544.5755797979799,0.06694287009287009,0.9465050505050506,26.249809741248097,113.0,35.4,68.768,0.4719038522763451,0.8071079761258817,0,0.14745053272450534,1.0
15,intermittent,dbaps,0.0,14.156,543.3060040404041,0.0656330277961294,0.9253737373737373,26.98013524936602,113.0,35.94,68.5,0.4753345155569886,0.8009049773755657,0,0.1521555367709214,1.0
16,intermittent,dbaps,0.0,14.776,546.8446913580248,0.06627568154833949,0.9771358024691358,26.670246085011186,114.0,27.536,56.088,0.4706661234467305,0.8049113233287858,0,0.14541387024608501,1.0
17,intermittent,dbaps,0.0,15.856,546.7380208333334,0.06164320874183007,0.9767083333333334,26.899033721159533,114.0,34.032,68.58,0.46994631699375167,0.7998228520814881,0,0.14573062512324986,1.0
18,intermittent,dbaps,0.0,15.892,543.9245777777778,0.058874451707372245,0.9334141414141414,26.518999612252813,114.0,35.124,68.728,0.47382474310219275,0.8074314361545267,0,0.14443582784024817,1.0
19,intermittent,dbaps,0.0,15.848,545.6355797979799,0.060702703505644676,0.9612121212121213,26.825106054762824,114.0,35.016,69.456,0.4734470550370132,0.8143896976483762,0,0.1407635942923255,1.0
20,intermittent,dbaps,0.0,14.008,547.7504161616164,0.07069422244422245,0.9892525252525253,26.33142329020333,113.0,34.144,69.6,0.47041444398851046,0.8102228047182176,0,0.1467652495378928,1.0
21,intermittent,dbaps,0.0,14.324,545.5026707070707,0.0674235527692747,0.9582222222222222,26.538847620959647,114.0,34.784,67.46,0.47684284268700866,0.8090707262924199,0,0.14153784380646456,1.0
22,intermittent,dbaps,0.0,14.092,543.0350666666667,0.06577243017399266,0.9267916666666668,28.517530319735393,113.0,35.184,65.344,0.4719949153888933,0.7960738353354819,0,0.16670341786108048,1.0
23,intermittent,dbaps,0.0,15.5,548.7808083333333,0.06514595060780723,1.00975,27.469611021069692,115.0,33.372,67.732,0.4742970501983785,0.8095690747782003,0,0.13776337115072934,1.0
24,intermittent,dbaps,0.0,14.384,545.5353535353537,0.06702658115305174,0.9627878787878789,26.75112951807229,113.0,34.996,68.228,0.4732987739652761,0.8048999103674933,0,0.14476656626506024,1.0
25,intermittent,dbaps,0.0,15.032,542.7118734693879,0.0613435273010303,0.9208571428571429,27.54670558798999,114.0,36.548,67.888,0.4724236252545825,0.8040287769784172,0,0.1574228523769808,1.0
26,intermittent,dbaps,0.0,16.296,540.3173777777779,0.05468834682498253,0.8907070707070708,26.60607424071991,114.0,38.104,67.644,0.4793542629999189,0.8121960344182566,0,0.13970753655793025,1.0
27,intermittent,dbaps,0.0,14.48,546.6648848484849,0.06719048380813086,0.9703030303030303,25.15033072760072,113.0,34.22,69.864,0.47407957734852235,0.8136444181925576,0,0.14151132491481258,1.0
28,intermittent,dbaps,0.0,14.436,543.7551070707071,0.06427281748752336,0.9267474747474749,26.845259215454366,113.0,34.7,68.232,0.4717179052691035,0.8073191017466038,0,0.15276956436033906,1.0
29,intermittent,dbaps,0.0,15.172,545.1953737373739,0.06327595958870469,0.9594343434343434,27.072303675436835,113.0,35.884,69.512,0.47175069673169495,0.8025814021707246,0,0.1502309700743121,1.0
30,intermittent,dbaps,0.0,13.52,542.4862521739132,0.06878732000097089,0.9282608695652174,28.300416281221093,113.0,34.864,61.632,0.475555906008516,0.7966101694915254,0,0.15795559666975023,1.0
31,intermittent,dbaps,0.0,13.492,545.3846101010101,0.07110452459997915,0.9568080808080809,26.202052841665083,113.0,35.08,68.668,0.4727809706257982,0.8055875576036866,0,0.14521954001140466,1.0
