net,k,p,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
3,6,0.0,3.024,496.4131428571428,0.008285714285714285,0.14914285714285713,nan,nan,16.464,16.464,0.832,nan,0,nan,nan
4,6,0.0,3.192,496.56727272727284,0.008038277511961721,0.1527272727272727,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
5,6,0.0,3.192,496.3210000000001,0.007736842105263157,0.147,nan,nan,16.128,16.128,0.832,nan,0,nan,nan
6,6,0.0,3.528,496.6402424242425,0.007353535353535354,0.15442424242424244,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
7,6,0.0,3.024,496.275393939394,0.008107744107744107,0.14593939393939392,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
8,6,0.0,3.696,496.12945454545456,0.006479338842975206,0.14254545454545453,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
9,6,0.0,3.528,496.3483636363637,0.00703030303030303,0.14763636363636362,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
10,6,0.0,3.696,496.71321212121217,0.007096418732782369,0.15612121212121213,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
11,6,0.0,3.696,496.4943030303031,0.006865013774104683,0.15103030303030304,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
12,6,0.0,3.192,496.4213333333334,0.007859649122807018,0.14933333333333335,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
13,6,0.0,3.024,496.34836363636373,0.0082020202020202,0.14763636363636362,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
14,6,0.0,3.024,496.4943030303031,0.008390572390572391,0.15103030303030304,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
15,6,0.0,3.024,496.3483636363637,0.0082020202020202,0.14763636363636362,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
16,6,0.0,3.36,496.688888888889,0.0077777777777777776,0.15555555555555553,nan,nan,13.608,13.608,0.832,nan,0,nan,nan
17,6,0.0,3.36,496.39625000000007,0.0074375,0.14875,nan,nan,16.128,16.128,0.832,nan,0,nan,nan
18,6,0.0,3.36,496.3483636363637,0.007381818181818181,0.14763636363636362,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
19,6,0.0,3.192,496.4943030303031,0.007948963317384369,0.15103030303030304,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
20,6,0.0,3.024,496.56727272727284,0.008484848484848484,0.1527272727272727,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
21,6,0.0,3.024,496.71321212121217,0.008673400673400675,0.15612121212121213,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
22,6,0.0,2.856,496.62200000000007,0.009058823529411767,0.154,nan,nan,16.128,16.128,0.832,nan,0,nan,nan
23,6,0.0,3.192,496.7725,0.008289473684210527,0.1575,nan,nan,16.128,16.128,0.832,nan,0,nan,nan
24,6,0.0,3.024,496.71321212121217,0.008673400673400675,0.15612121212121213,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
25,6,0.0,3.024,496.4131428571428,0.008285714285714285,0.14914285714285713,nan,nan,16.464,16.464,0.832,nan,0,nan,nan
26,6,0.0,3.36,496.4943030303031,0.007551515151515151,0.15103030303030304,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
27,6,0.0,3.192,496.3483636363637,0.007770334928229665,0.14763636363636362,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
28,6,0.0,3.024,496.275393939394,0.008107744107744107,0.14593939393939392,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
29,6,0.0,3.024,496.56727272727284,0.008484848484848484,0.1527272727272727,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
30,6,0.0,3.192,496.98843478260875,0.008553775743707094,0.16252173913043474,nan,nan,15.456,15.456,0.832,nan,0,nan,nan
31,6,0.0,2.856,496.56727272727284,0.008983957219251337,0.1527272727272727,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
32,6,0.0,3.36,496.4943030303031,0.007551515151515151,0.15103030303030304,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
33,6,0.0,3.192,496.71321212121217,0.008216905901116426,0.15612121212121213,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
34,6,0.0,3.024,496.6402424242425,0.00857912457912458,0.15442424242424244,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
35,6,0.0,4.032,495.8375757575758,0.0056565656565656566,0.13575757575757574,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
36,6,0.0,3.528,496.3210000000001,0.007,0.147,nan,nan,16.128,16.128,0.832,nan,0,nan,nan
37,6,0.0,3.528,496.691705263158,0.007410526315789473,0.15562105263157894,nan,nan,15.96,15.96,0.832,nan,0,nan,nan
38,6,0.0,2.856,496.71321212121217,0.009183600713012477,0.15612121212121213,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
39,6,0.0,3.192,496.4213333333334,0.007859649122807018,0.14933333333333335,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
40,6,0.0,3.024,496.78618181818183,0.008767676767676768,0.1578181818181818,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
41,6,0.0,3.192,496.56727272727284,0.008038277511961721,0.1527272727272727,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
42,6,0.0,2.856,496.6402424242425,0.009083778966131906,0.15442424242424244,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
43,6,0.0,3.36,496.5396210526316,0.0076042105263157906,0.1520842105263158,nan,nan,15.96,15.96,0.832,nan,0,nan,nan
44,6,0.0,3.192,496.4213333333334,0.007859649122807018,0.14933333333333335,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
45,6,0.0,2.856,496.78618181818183,0.00928342245989305,0.1578181818181818,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
46,6,0.0,3.192,496.63428571428574,0.0081203007518797,0.1542857142857143,nan,nan,16.464,16.464,0.832,nan,0,nan,nan
47,6,0.0,3.192,496.05648484848484,0.007413078149920254,0.14084848484848483,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
48,6,0.0,3.024,496.2657142857143,0.008095238095238095,0.1457142857142857,nan,nan,16.464,16.464,0.832,nan,0,nan,nan
49,6,0.0,3.024,496.275393939394,0.008107744107744107,0.14593939393939392,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
