net,scheme,overhead,p,nodes,reachable,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
30,static,none,0.02,93,0.93,19.0,536.7476782608696,0.05417848970251715,1.029391304347826,17.355042016806724,19.0,86.296,92.0,0.0,1.0,0,0.0,1.0
31,static,none,0.02,100,1.0,17.0,533.6027272727273,0.056705882352941175,0.964,15.133333333333333,17.0,93.564,99.0,0.0,1.0,0,0.0,1.0
32,static,none,0.02,100,1.0,20.0,533.2141414141414,0.047733333333333336,0.9546666666666667,16.53731343283582,20.0,93.488,99.0,0.0,1.0,0,0.0,1.0
33,static,none,0.02,100,1.0,19.0,535.3567636363637,0.052357256778309415,0.9947878787878788,16.360078277886497,19.0,92.516,99.0,0.0,1.0,0,0.0,1.0
34,static,none,0.02,100,1.0,18.0,534.8264161616162,0.05464421997755331,0.9835959595959596,15.759776536312849,18.0,92.624,99.0,0.0,1.0,0,0.0,1.0
35,static,none,0.02,100,1.0,24.0,528.8166303030304,0.03578114478114478,0.8587474747474748,19.23265306122449,24.0,93.984,99.0,0.0,1.0,0,0.0,1.0
36,static,none,0.02,97,0.97,21.0,531.9246208333334,0.04418849206349206,0.9279583333333333,17.782978723404256,21.0,90.916,96.0,0.0,1.0,0,0.0,1.0
37,static,none,0.02,96,0.96,21.0,534.9691957894736,0.04704561403508772,0.9879578947368421,17.373101952277658,21.0,89.144,95.0,0.0,1.0,0,0.0,1.0
38,static,none,0.02,100,1.0,17.0,535.0618666666667,0.05831016042780749,0.9912727272727273,14.720149253731343,17.0,92.864,99.0,0.0,1.0,0,0.0,1.0
39,static,none,0.02,100,1.0,19.0,532.7860646464646,0.04973737373737374,0.945010101010101,15.695219123505977,19.0,93.444,99.0,0.0,1.0,0,0.0,1.0
40,static,none,0.02,100,1.0,18.0,535.5329858585859,0.05561391694725028,1.0010505050505052,15.90356394129979,18.0,92.896,99.0,0.0,1.0,0,0.0,1.0
41,static,none,0.02,100,1.0,19.0,533.9910747474747,0.05099627857522594,0.968929292929293,16.64,19.0,93.076,99.0,0.0,1.0,0,0.0,1.0
42,static,none,0.02,100,1.0,17.0,534.1375838383839,0.05734521687462863,0.9748686868686869,15.093181818181819,17.0,93.488,99.0,0.0,1.0,0,0.0,1.0
43,static,none,0.02,96,0.96,20.0,534.1504210526317,0.04841052631578947,0.9682105263157895,15.490526315789474,20.0,89.02,95.0,0.0,1.0,0,0.0,1.0
44,static,none,0.02,100,1.0,19.0,532.5930383838385,0.049609782030834666,0.9425858585858585,16.377319587628865,19.0,93.684,99.0,0.0,1.0,0,0.0,1.0
45,static,none,0.02,100,1.0,17.0,535.4086262626263,0.058821152703505644,0.9999595959595959,15.316008316008316,17.0,93.004,99.0,0.0,1.0,0,0.0,1.0
46,static,none,0.02,99,0.99,19.0,533.8382040816326,0.05113641245972073,0.9715918367346938,16.36842105263158,19.0,92.784,98.0,0.0,1.0,0,0.0,1.0
47,static,none,0.02,100,1.0,19.0,530.8216606060606,0.04718979266347688,0.8966060606060605,15.85,19.0,93.236,99.0,0.0,1.0,0,0.0,1.0
48,static,none,0.02,99,0.99,18.0,531.735787755102,0.05122902494331066,0.922122448979592,15.02385685884692,18.0,92.632,98.0,0.0,1.0,0,0.0,1.0
49,static,none,0.02,100,1.0,18.0,531.7406949494949,0.05125925925925926,0.9226666666666666,14.981707317073171,18.0,93.656,99.0,0.0,1.0,0,0.0,1.0
0,static,none,0.05,99,0.99,19.0,539.7807836734694,0.054590762620837806,1.0372244897959184,14.955940204563335,19.0,85.352,98.0,0.0,1.0,0,0.0,1.0
1,static,none,0.05,100,1.0,18.0,541.7388282828284,0.05904826038159371,1.0628686868686867,16.44076222038111,18.0,84.776,99.0,0.0,1.0,0,0.0,1.0
2,static,none,0.05,100,1.0,20.0,539.5565212121212,0.05125858585858586,1.0251717171717174,16.994295028524856,20.0,85.508,99.0,0.0,1.0,0,0.0,1.0
3,static,none,0.05,99,0.99,18.0,538.7629510204082,0.05648299319727891,1.0166938775510201,14.48734693877551,18.0,85.364,98.0,0.0,1.0,0,0.0,1.0
4,static,none,0.05,100,1.0,19.0,540.5124686868687,0.05499202551834131,1.044848484848485,15.96132596685083,19.0,85.56,99.0,0.0,1.0,0,0.0,1.0
5,static,none,0.05,97,0.97,19.0,538.9304458333335,0.05327412280701754,1.0122083333333334,14.481692432872254,19.0,82.828,96.0,0.0,1.0,0,0.0,1.0
6,static,none,0.05,100,1.0,21.0,540.6697373737373,0.05013179413179413,1.0527676767676768,17.295587010824313,21.0,85.776,99.0,0.0,1.0,0,0.0,1.0
7,static,none,0.05,100,1.0,18.0,537.707898989899,0.05522109988776656,0.9939797979797981,15.331184528605963,18.0,86.596,99.0,0.0,1.0,0,0.0,1.0
8,static,none,0.05,100,1.0,22.0,536.0524444444445,0.04391184573002755,0.9660606060606061,18.207095709570957,22.0,87.36,99.0,0.0,1.0,0,0.0,1.0
9,static,none,0.05,100,1.0,21.0,537.4892282828283,0.04738816738816738,0.9951515151515152,18.060480530240266,21.0,87.48,99.0,0.0,1.0,0,0.0,1.0
10,static,none,0.05,100,1.0,22.0,541.2972606060607,0.048286501377410466,1.0623030303030303,17.159869494290376,22.0,85.832,99.0,0.0,1.0,0,0.0,1.0
11,static,none,0.05,100,1.0,22.0,539.0041454545456,0.04657483930211202,1.0246464646464646,17.819015846538782,22.0,86.56,99.0,0.0,1.0,0,0.0,1.0
12,static,none,0.05,100,1.0,19.0,538.2166545454545,0.05313769271664009,1.0096161616161616,16.216723549488055,19.0,87.048,99.0,0.0,1.0,0,0.0,1.0
13,static,none,0.05,100,1.0,18.0,539.3296323232323,0.05655667789001123,1.018020202020202,14.519138755980862,18.0,85.216,99.0,0.0,1.0,0,0.0,1.0
14,static,none,0.05,100,1.0,18.0,538.920892929293,0.05687766554433222,1.02379797979798,15.39277108433735,18.0,86.644,99.0,0.0,1.0,0,0.0,1.0
15,static,none,0.05,100,1.0,18.0,538.6103313131314,0.05612794612794613,1.0103030303030303,15.545384018619085,18.0,85.98,99.0,0.0,1.0,0,0.0,1.0
16,static,none,0.05,82,0.82,20.0,540.5908296296296,0.05279259259259259,1.0558518518518518,16.539406345957012,20.0,70.476,81.0,0.0,1.0,0,0.0,1.0
17,static,none,0.05,97,0.97,20.0,538.4522583333332,0.05059166666666667,1.0118333333333336,14.668664383561644,20.0,83.864,96.0,0.0,1.0,0,0.0,1.0
18,static,none,0.05,100,1.0,20.0,538.456496969697,0.05041818181818181,1.0083636363636364,15.979508196721312,20.0,86.172,99.0,0.0,1.0,0,0.0,1.0
19,static,none,0.05,100,1.0,19.0,539.3621616161616,0.054181818181818185,1.0294545454545454,16.041834271922767,19.0,86.084,99.0,0.0,1.0,0,0.0,1.0
20,static,none,0.05,100,1.0,18.0,540.9495878787878,0.05839057239057239,1.051030303030303,15.431522570772762,18.0,84.948,99.0,0.0,1.0,0,0.0,1.0
21,static,none,0.05,100,1.0,18.0,542.5366545454546,0.05985185185185185,1.0773333333333335,15.327830188679245,18.0,84.344,99.0,0.0,1.0,0,0.0,1.0
22,static,none,0.05,97,0.97,17.0,540.2025375000001,0.061536764705882346,1.046125,14.93192868719611,17.0,83.572,96.0,0.0,1.0,0,0.0,1.0
23,static,none,0.05,97,0.97,19.0,542.5433041666666,0.05700219298245614,1.0830416666666665,17.40533778148457,19.0,82.028,96.0,0.0,1.0,0,0.0,1.0
24,static,none,0.05,100,1.0,18.0,540.6877979797979,0.058805836139169475,1.0585050505050506,16.0528,18.0,86.208,99.0,0.0,1.0,0,0.0,1.0
25,static,none,0.05,99,0.99,18.0,538.0684612244899,0.056011337868480726,1.008204081632653,14.186610878661089,18.0,86.196,98.0,0.0,1.0,0,0.0,1.0
26,static,none,0.05,100,1.0,20.0,538.7835232323233,0.05114343434343434,1.022868686868687,16.120168067226892,20.0,86.736,99.0,0.0,1.0,0,0.0,1.0
27,static,none,0.05,100,1.0,19.0,539.5579191919193,0.05372674109516216,1.0208080808080808,14.252581413820492,19.0,84.94,99.0,0.0,1.0,0,0.0,1.0
28,static,none,0.05,100,1.0,18.0,537.3030707070708,0.05499438832772166,0.98989898989899,14.983164983164983,18.0,87.0,99.0,0.0,1.0,0,0.0,1.0
29,static,none,0.05,100,1.0,18.0,539.2906222222223,0.05741189674523008,1.0334141414141413,14.973993288590604,18.0,86.692,99.0,0.0,1.0,0,0.0,1.0
30,static,none,0.05,93,0.93,19.0,542.4166478260871,0.057677345537757434,1.0958695652173913,17.351657940663177,19.0,80.18,92.0,0.0,1.0,0,0.0,1.0
31,static,none,0.05,100,1.0,17.0,539.6319717171717,0.06094117647058824,1.036,15.24,17.0,86.436,99.0,0.0,1.0,0,0.0,1.0
32,static,none,0.05,100,1.0,20.0,539.1373656565656,0.0513050505050505,1.0261010101010102,16.686258278145694,20.0,86.416,99.0,0.0,1.0,0,0.0,1.0
33,static,none,0.05,100,1.0,19.0,541.4830101010101,0.056210526315789475,1.068,16.399183673469388,19.0,85.268,99.0,0.0,1.0,0,0.0,1.0
34,static,none,0.05,100,1.0,18.0,541.3882626262628,0.058983164983164985,1.0616969696969698,15.879062736205594,18.0,84.892,99.0,0.0,1.0,0,0.0,1.0
35,static,none,0.05,100,1.0,24.0,534.3436484848486,0.03862457912457913,0.9269898989898989,19.080525883319638,24.0,87.228,99.0,0.0,1.0,0,0.0,1.0
36,static,none,0.05,97,0.97,21.0,537.7575416666667,0.047563492063492065,0.9988333333333334,17.803807947019866,21.0,84.112,96.0,0.0,1.0,0,0.0,1.0
37,static,none,0.05,96,0.96,21.0,541.6039494736842,0.050746867167919804,1.0656842105263158,17.447346251053077,21.0,81.76,95.0,0.0,1.0,0,0.0,1.0
38,static,none,0.05,100,1.0,17.0,540.7860161616162,0.06230540701128936,1.0591919191919195,14.664804469273744,17.0,86.14,99.0,0.0,1.0,0,0.0,1.0
39,static,none,0.05,100,1.0,19.0,538.2961777777779,0.053239766081871344,1.0115555555555555,15.876961189099918,19.0,86.856,99.0,0.0,1.0,0,0.0,1.0
40,static,none,0.05,100,1.0,18.0,541.8339757575758,0.05969696969696969,1.0745454545454545,15.926494345718902,18.0,85.62,99.0,0.0,1.0,0,0.0,1.0
41,static,none,0.05,100,1.0,19.0,539.7835717171718,0.054643274853801174,1.0382222222222222,16.63249211356467,19.0,86.216,99.0,0.0,1.0,0,0.0,1.0
42,static,none,0.05,100,1.0,17.0,540.2130626262626,0.06156387403446227,1.0465858585858587,15.178509532062392,17.0,86.388,99.0,0.0,1.0,0,0.0,1.0
43,static,none,0.05,96,0.96,20.0,540.5168336842105,0.05218947368421053,1.0437894736842106,15.192968111201962,20.0,81.84,95.0,0.0,1.0,0,0.0,1.0
44,static,none,0.05,100,1.0,19.0,538.0786262626264,0.05308665603402446,1.0086464646464646,16.26298433635614,19.0,87.144,99.0,0.0,1.0,0,0.0,1.0
45,static,none,0.05,100,1.0,17.0,541.818492929293,0.06326559714795009,1.0755151515151515,15.251203852327448,17.0,85.524,99.0,0.0,1.0,0,0.0,1.0
46,static,none,0.05,99,0.99,19.0,539.5869387755102,0.054775510204081626,1.040734693877551,16.419354838709676,19.0,86.008,98.0,0.0,1.0,0,0.0,1.0
47,static,none,0.05,100,1.0,19.0,536.8689858585859,0.051028176501860714,0.9695353535353536,15.877721943048575,19.0,86.016,99.0,0.0,1.0,0,0.0,1.0
48,static,none,0.05,99,0.99,18.0,537.0098040816328,0.05476190476190476,0.9857142857142858,15.171238570241064,18.0,86.4,98.0,0.0,1.0,0,0.0,1.0
49,static,none,0.05,100,1.0,18.0,537.2618626262627,0.05494725028058361,0.9890505050505051,15.11390284757119,18.0,87.084,99.0,0.0,1.0,0,0.0,1.0
0,static,none,0.1,99,0.99,19.0,547.5068448979592,0.05932330827067669,1.127142857142857,15.087464731962918,19.0,76.54,98.0,0.0,1.0,0,0.0,1.0
1,static,none,0.1,100,1.0,18.0,549.6231151515152,0.06409203142536476,1.1536565656565658,16.379821958456972,18.0,75.788,99.0,0.0,1.0,0,0.0,1.0
2,static,none,0.1,100,1.0,20.0,548.2507313131313,0.05638383838383838,1.1276767676767676,17.0048,20.0,75.36,99.0,0.0,1.0,0,0.0,1.0
3,static,none,0.1,99,0.99,18.0,546.6525836734695,0.06167573696145125,1.1101632653061224,14.603258655804481,18.0,76.204,98.0,0.0,1.0,0,0.0,1.0
4,static,none,0.1,100,1.0,19.0,548.062088888889,0.05958320042530569,1.1320808080808082,15.948109412711183,19.0,76.924,99.0,0.0,1.0,0,0.0,1.0
5,static,none,0.1,97,0.97,19.0,546.9477750000001,0.058285087719298245,1.1074166666666667,14.342738589211619,19.0,73.688,96.0,0.0,1.0,0,0.0,1.0
6,static,none,0.1,100,1.0,21.0,548.9125010101011,0.05472246272246272,1.1491717171717173,17.365431103948428,21.0,76.232,99.0,0.0,1.0,0,0.0,1.0
7,static,none,0.1,100,1.0,18.0,545.2118060606061,0.060148148148148145,1.0826666666666667,15.319727891156463,18.0,77.816,99.0,0.0,1.0,0,0.0,1.0
8,static,none,0.1,100,1.0,22.0,543.4259474747475,0.04793388429752066,1.0545454545454545,18.156237049316204,22.0,78.6,99.0,0.0,1.0,0,0.0,1.0
9,static,none,0.1,100,1.0,21.0,545.0112323232323,0.05156709956709957,1.082909090909091,18.04192611041926,21.0,78.792,99.0,0.0,1.0,0,0.0,1.0
10,static,none,0.1,100,1.0,22.0,549.2604282828283,0.052415059687786966,1.1531313131313132,17.226430629888842,22.0,76.84,99.0,0.0,1.0,0,0.0,1.0
11,static,none,0.1,100,1.0,22.0,547.0769737373738,0.05092194674012855,1.120282828282828,17.85453808752026,22.0,77.092,99.0,0.0,1.0,0,0.0,1.0
12,static,none,0.1,100,1.0,19.0,546.4641292929293,0.05825837320574163,1.106909090909091,16.208265139116204,19.0,77.416,99.0,0.0,1.0,0,0.0,1.0
13,static,none,0.1,100,1.0,18.0,547.2145818181818,0.06171268237934905,1.1108282828282827,14.57928542753914,18.0,76.028,99.0,0.0,1.0,0,0.0,1.0
14,static,none,0.1,100,1.0,18.0,546.9480040404042,0.06216161616161617,1.1189090909090909,15.314171656686627,18.0,77.228,99.0,0.0,1.0,0,0.0,1.0
15,static,none,0.1,100,1.0,18.0,546.2775111111112,0.06115824915824916,1.100848484848485,15.606854838709678,18.0,77.016,99.0,0.0,1.0,0,0.0,1.0
16,static,none,0.1,82,0.82,20.0,548.4066962962963,0.05738271604938272,1.1476543209876542,16.55527254202751,20.0,63.04,81.0,0.0,1.0,0,0.0,1.0
17,static,none,0.1,97,0.97,20.0,547.1535833333334,0.055758333333333326,1.1151666666666666,14.742582532386127,20.0,73.944,96.0,0.0,1.0,0,0.0,1.0
18,static,none,0.1,100,1.0,20.0,546.1368686868689,0.054991919191919196,1.0998383838383838,15.937033968516984,20.0,77.116,99.0,0.0,1.0,0,0.0,1.0
19,static,none,0.1,100,1.0,19.0,547.3951797979798,0.05920042530568846,1.124808080808081,16.05128205128205,19.0,76.644,99.0,0.0,1.0,0,0.0,1.0
20,static,none,0.1,100,1.0,18.0,548.7765454545455,0.0634455667789001,1.142020202020202,15.40756799369334,18.0,75.94,99.0,0.0,1.0,0,0.0,1.0
21,static,none,0.1,100,1.0,18.0,550.190997979798,0.06473176206509541,1.1651717171717173,15.275584206285254,18.0,75.648,99.0,0.0,1.0,0,0.0,1.0
22,static,none,0.1,97,0.97,17.0,547.8056958333333,0.06675245098039216,1.1347916666666664,14.901714763697198,17.0,75.06,96.0,0.0,1.0,0,0.0,1.0
23,static,none,0.1,97,0.97,19.0,550.5932250000001,0.06190350877192983,1.1761666666666668,17.486486486486488,19.0,73.088,96.0,0.0,1.0,0,0.0,1.0
24,static,none,0.1,100,1.0,18.0,548.6317535353536,0.06396632996632996,1.1513939393939392,16.0087929656275,18.0,77.012,99.0,0.0,1.0,0,0.0,1.0
25,static,none,0.1,99,0.99,18.0,546.2230204081633,0.06138321995464852,1.1048979591836734,14.219721767594107,18.0,76.72,98.0,0.0,1.0,0,0.0,1.0
26,static,none,0.1,100,1.0,20.0,546.6997454545455,0.05587676767676768,1.1175353535353538,16.14588528678304,20.0,77.364,99.0,0.0,1.0,0,0.0,1.0
27,static,none,0.1,100,1.0,19.0,547.4954505050506,0.05864540138224349,1.1142626262626263,14.31260162601626,19.0,75.688,99.0,0.0,1.0,0,0.0,1.0
28,static,none,0.1,100,1.0,18.0,545.0970868686868,0.060150392817059486,1.0827070707070707,14.956949569495695,18.0,77.812,99.0,0.0,1.0,0,0.0,1.0
29,static,none,0.1,100,1.0,18.0,547.8970707070706,0.06307744107744108,1.1353939393939394,14.952188006482983,18.0,76.596,99.0,0.0,1.0,0,0.0,1.0
30,static,none,0.1,93,0.93,19.0,550.1638565217391,0.06234553775743707,1.1845652173913042,17.401134875600174,19.0,72.02,92.0,0.0,1.0,0,0.0,1.0
31,static,none,0.1,100,1.0,17.0,547.6650666666667,0.0664622697563874,1.129858585858586,15.25812926535528,17.0,77.144,99.0,0.0,1.0,0,0.0,1.0
