net,scheme,overhead,p,nodes,reachable,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
32,bsps,ack,0.02,100,1.0,14.648,580.7592000000001,0.0400450720666407,0.5843232323232324,48.88912579957356,114.0,55.232,60.696,0.4949654866696219,0.6753812636165577,0,0.3773987206823028,1.0
33,bsps,ack,0.02,100,1.0,14.684,582.9711838383839,0.04367989113283231,0.641010101010101,45.111545988258314,114.0,57.18,63.556,0.4951003581807123,0.6865342163355408,0,0.3287671232876712,1.0
34,bsps,ack,0.02,100,1.0,13.624,581.7027515151516,0.04497482197936743,0.6119191919191919,51.18994413407821,114.0,54.284,60.696,0.4941687944241253,0.6699410609037328,0,0.3947858472998138,1.0
35,bsps,ack,0.02,100,1.0,17.276,578.2414747474747,0.03050015325995718,0.5246868686868688,57.046938775510206,118.0,55.488,60.508,0.4939907326962062,0.6484018264840182,0,0.4387755102040816,1.0
36,bsps,ack,0.02,97,0.97,14.644,579.8411458333334,0.038407863119995465,0.5622916666666667,51.736170212765956,115.0,52.384,57.468,0.4951351996657315,0.6780684104627767,0,0.39787234042553193,1.0
37,bsps,ack,0.02,96,0.96,15.248,582.8383031578948,0.04168725819072568,0.6344421052631579,52.86767895878525,116.0,53.64,59.476,0.4944857078550529,0.6579572446555819,0,0.39913232104121477,1.0
38,bsps,ack,0.02,100,1.0,12.968,581.5528727272728,0.04683811071083799,0.6067070707070706,48.740671641791046,113.0,53.26,59.436,0.49458528951486697,0.6819047619047619,0,0.375,1.0
39,bsps,ack,0.02,100,1.0,13.696,580.7275878787879,0.04266256730989352,0.5842020202020203,47.07171314741036,113.0,55.536,61.0,0.49513250405624665,0.6790393013100436,0,0.36254980079681276,1.0
40,bsps,ack,0.02,100,1.0,13.672,582.3997131313132,0.04591748583825233,0.6234747474747476,50.524109014675055,114.0,54.36,60.292,0.49517315871194223,0.6727688787185355,0,0.389937106918239,1.0
41,bsps,ack,0.02,100,1.0,13.632,580.837494949495,0.04320326373962738,0.589050505050505,52.518095238095235,114.0,53.4,59.304,0.49442259333290345,0.6639511201629328,0,0.4114285714285714,1.0
42,bsps,ack,0.02,100,1.0,13.348,581.6582666666667,0.045359680050589136,0.6046060606060606,51.425,114.0,54.336,59.884,0.4953108941418294,0.6736111111111112,0,0.4022727272727273,1.0
43,bsps,ack,0.02,96,0.96,13.228,581.66808,0.04632057363688942,0.6089263157894736,48.46526315789474,114.0,52.416,58.396,0.49450949463083177,0.6769825918762089,0,0.37684210526315787,1.0
44,bsps,ack,0.02,100,1.0,14.036,580.9351393939395,0.04187637406166817,0.5873131313131315,49.758762886597935,114.0,56.012,61.224,0.4950668165355314,0.6810699588477366,0,0.3835051546391753,1.0
45,bsps,ack,0.02,100,1.0,13.128,582.1865212121212,0.0472712358348722,0.6195555555555555,47.96049896049896,114.0,54.396,60.372,0.4953673915840947,0.6790393013100436,0,0.367983367983368,1.0
46,bsps,ack,0.02,99,0.99,14.08,581.2407795918367,0.04212751215371263,0.593469387755102,47.04385964912281,115.0,54.652,59.768,0.4960911620511462,0.6970443349753694,0,0.3508771929824561,1.0
47,bsps,ack,0.02,100,1.0,14.044,580.2866707070707,0.04089419878002765,0.5743030303030302,43.266666666666666,114.0,56.168,61.812,0.4957731595632265,0.6974248927038627,0,0.32083333333333336,1.0
48,bsps,ack,0.02,99,0.99,13.868,580.1772693877552,0.04127570593672034,0.5711836734693877,52.44532803180915,115.0,54.924,60.256,0.49404326123128117,0.6505263157894737,0,0.4115308151093439,1.0
49,bsps,ack,0.02,100,1.0,13.912,580.339402020202,0.041142570738827426,0.5745858585858586,50.40040650406504,114.0,55.232,60.592,0.4946334364198654,0.6640471512770137,0,0.3943089430894309,1.0
0,bsps,ack,0.05,99,0.99,14.66,583.0485387755101,0.046691573488851876,0.6806938775510205,52.32808811959087,115.0,48.672,61.032,0.48613208842509953,0.660472972972973,0,0.4036191974822974,1.0
1,bsps,ack,0.05,100,1.0,13.964,584.7374303030305,0.05182138401309524,0.7216565656565656,48.32311516155758,115.0,49.548,63.26,0.4874337623012869,0.6740384615384616,0,0.3587406793703397,1.0
2,bsps,ack,0.05,100,1.0,14.968,583.0131636363637,0.04589059165235636,0.6857373737373736,48.851670741646295,115.0,49.696,63.08,0.48645390070921984,0.6765217391304348,0,0.36267318663406684,1.0
3,bsps,ack,0.05,99,0.99,13.632,582.3625020408165,0.04907322422475484,0.6674693877551021,49.67673469387755,114.0,49.372,61.704,0.4865010799136069,0.6680743243243243,0,0.39102040816326533,1.0
4,bsps,ack,0.05,100,1.0,13.576,583.5483636363638,0.051130336241298806,0.6937777777777777,51.31491712707182,114.0,48.48,61.656,0.4856685775229969,0.6578525641025641,0,0.39700078926598265,1.0
5,bsps,ack,0.05,97,0.97,14.596,582.8195583333334,0.04671065233785822,0.6802916666666667,47.13262815296989,115.0,49.3,61.852,0.486660900805003,0.6735028712059065,0,0.3563873067534581,1.0
6,bsps,ack,0.05,100,1.0,14.284,583.3077333333333,0.04827607940682808,0.6875555555555557,49.716902581182346,115.0,49.172,61.932,0.48788110285436487,0.6721162579473207,0,0.37885095753538717,1.0
7,bsps,ack,0.05,100,1.0,13.204,581.9276,0.049679031406304135,0.6543838383838383,48.07655116841257,114.0,49.536,61.772,0.4871368742936914,0.6777133388566694,0,0.37308622078968573,1.0
8,bsps,ack,0.05,100,1.0,15.916,580.9303797979799,0.03965903959970007,0.6286868686868687,50.54042904290429,116.0,50.572,61.88,0.48711795016587844,0.6685133887349953,0,0.3787128712871287,1.0
9,bsps,ack,0.05,100,1.0,14.84,582.1829494949495,0.0444118036298588,0.6526464646464647,50.791217895608945,116.0,50.12,61.44,0.4878196500672948,0.6798245614035088,0,0.3835956917978459,1.0
10,bsps,ack,0.05,100,1.0,15.108,584.7341454545455,0.04755865172257422,0.7164040404040404,48.84502446982056,116.0,49.66,62.592,0.4872174640994269,0.674037674037674,0,0.3646003262642741,1.0
