net,scheme,p,frame_len,latency,latency_p95,service
17,baps,0.2,14.316,17.271446593776282,28.0,0.6438690766976063
18,baps,0.2,13.5,17.80940794809408,27.0,0.6472203157172272
19,baps,0.2,13.5,18.344827586206897,27.0,0.6470716783216783
20,baps,0.2,12.316,17.34717741935484,25.0,0.6395927601809954
21,baps,0.2,12.0,16.96731234866828,24.0,0.6511472488304745
22,baps,0.2,12.0,16.999577791851383,23.0,0.6363429611098477
23,baps,0.2,13.0,19.533734689640855,26.0,0.6421725239616614
24,baps,0.2,12.192,18.007839195979898,25.0,0.6439222774514234
25,baps,0.2,13.02,16.907634699396713,25.0,0.65032080659945
26,baps,0.2,14.864,19.621377183967113,29.0,0.6393560788082653
27,baps,0.2,13.0,16.36545859485726,26.0,0.6389511429852084
28,baps,0.2,12.728,17.306785859406745,26.0,0.6378774422735346
29,baps,0.2,13.7,18.0402982067298,27.0,0.6399262332872291
30,baps,0.2,12.0,18.675005391416864,24.0,0.6473265073947668
31,baps,0.2,11.0,16.458358540028232,22.0,0.6397306397306397
32,baps,0.2,14.0,19.176588494688314,28.0,0.6442412366644894
33,baps,0.2,13.652,18.837577002053386,27.0,0.6408813877168308
34,baps,0.2,13.0,18.409580838323354,26.0,0.6422535211267606
35,baps,0.2,16.5,21.43633791430881,33.0,0.6449092741935484
36,baps,0.2,14.5,20.168744971842315,29.0,0.643045150840251
37,baps,0.2,14.42,20.026993094789706,29.0,0.6463694267515924
38,baps,0.2,11.5,16.81413087113609,23.0,0.6394354148845167
39,baps,0.2,13.0,17.69288162936076,25.0,0.6448202959830867
40,baps,0.2,11.5,17.248437184916313,23.0,0.6434599156118144
41,baps,0.2,13.0,18.767370987403496,26.0,0.6411645226811103
42,baps,0.2,11.688,17.299309767830998,23.0,0.6408626560726447
43,baps,0.2,13.0,16.633879781420767,26.0,0.6454081632653061
44,baps,0.2,12.5,18.04123711340206,25.0,0.6389487289961223
45,baps,0.2,12.0,17.299860251547216,24.0,0.6445985238201745
46,baps,0.2,13.0,18.41110641891892,26.0,0.6449443413729128
47,baps,0.2,13.5,18.218832087290362,27.0,0.6416410256410257
48,baps,0.2,11.64,16.530322040987034,23.0,0.6404285048905449
49,baps,0.2,13.0,17.425785259700266,25.0,0.6443010752688172
0,ewma,0.2,15.4,17.493217250455558,31.0,0.6735508096690918
1,ewma,0.2,14.848,17.77140499277904,30.0,0.6672699069286453
2,ewma,0.2,15.604,17.761808639483245,31.0,0.6759749638902263
3,ewma,0.2,14.024,15.621516393442622,28.0,0.6700321248279028
4,ewma,0.2,14.016,16.793708408953417,29.0,0.6701582349008246
5,ewma,0.2,14.804,16.52548441449031,29.0,0.6652399189006533
6,ewma,0.2,15.048,17.375625375225134,30.0,0.6721506914639962
7,ewma,0.2,13.52,15.415637026534332,27.0,0.6791347453808022
8,ewma,0.2,16.692,18.58285946385053,33.0,0.6697425934919864
9,ewma,0.2,15.416,18.046031096563013,32.0,0.6704387990762125
10,ewma,0.2,15.588,17.883008921330088,32.0,0.6667390360399479
11,ewma,0.2,16.464,18.763296792529434,33.0,0.6701570680628273
12,ewma,0.2,14.0,15.71784149741139,28.0,0.6753856472166331
13,ewma,0.2,14.712,16.654150598741627,29.0,0.663923182441701
14,ewma,0.2,13.912,15.747115001989654,28.0,0.6712725651883218
15,ewma,0.2,13.996,15.961287774047008,28.0,0.6733439562941043
16,ewma,0.2,14.396,16.3299277348617,29.0,0.6770348837209302
17,ewma,0.2,15.596,17.01555929352397,31.0,0.6665830406422478
18,ewma,0.2,15.556,16.84022708840227,31.0,0.682064576950271
19,ewma,0.2,15.528,17.511062387881204,31.0,0.666967305524239
20,ewma,0.2,13.708,15.59274193548387,27.0,0.6724420510419106
21,ewma,0.2,14.168,17.158393866020983,29.0,0.667572463768116
22,ewma,0.2,13.824,16.056998100063332,27.0,0.6784695817490495
23,ewma,0.2,15.296,18.184139505916544,31.0,0.6718987341772152
24,ewma,0.2,14.188,16.846633165829147,28.0,0.6701030927835051
25,ewma,0.2,14.852,16.49240690659455,29.0,0.6707231453311491
26,ewma,0.2,16.216,17.70154162384378,32.0,0.672
27,ewma,0.2,14.012,15.406357562259567,28.0,0.6652768126013435
28,ewma,0.2,14.316,16.22206420154409,29.0,0.670420592967134
29,ewma,0.2,14.872,16.439451944388473,29.0,0.6701570680628273
30,ewma,0.2,13.392,16.762777657968513,27.0,0.6728035422978327
31,ewma,0.2,13.376,15.851986287557976,27.0,0.6637514384349827
32,ewma,0.2,15.408,17.121266786931248,30.0,0.6686936936936937
33,ewma,0.2,15.376,17.51334702258727,30.0,0.6698982064953951
34,ewma,0.2,14.244,16.96187624750499,29.0,0.6676363636363636
35,ewma,0.2,19.04,20.233831851253033,38.0,0.6721698113207547
36,ewma,0.2,15.428,18.1532582461786,31.0,0.6613504556752279
37,ewma,0.2,16.34,18.59301109018623,33.0,0.676501860712387
38,ewma,0.2,13.808,16.629265355279003,28.0,0.6638729598588443
39,ewma,0.2,14.488,16.213752772736438,28.0,0.6676356589147286
40,ewma,0.2,14.072,16.913692276668684,29.0,0.6755716004813478
41,ewma,0.2,14.404,17.029256399837465,29.0,0.6698620528407763
42,ewma,0.2,13.852,16.450533361221503,28.0,0.6611551001397299
43,ewma,0.2,13.972,15.622740647330811,28.0,0.6740464708461201
44,ewma,0.2,14.792,17.027491408934708,30.0,0.6697777777777778
45,ewma,0.2,13.888,16.227789978039528,28.0,0.6713528462779442
46,ewma,0.2,15.18,17.778716216216218,31.0,0.6673886883273165
47,ewma,0.2,14.6,16.40856738735098,29.0,0.6675180928054492
48,ewma,0.2,14.848,16.961313258051025,30.0,0.6731047802993723
49,ewma,0.2,14.56,16.53028125641552,28.0,0.6672546857772877
0,oracle,0.2,10.236,8.477019639603158,12.0,1.0
1,oracle,0.2,10.728,9.318341242005364,13.0,1.0
2,oracle,0.2,10.968,8.867581752119499,12.0,1.0
3,oracle,0.2,10.092,7.523770491803279,11.0,1.0
4,oracle,0.2,9.896,8.399274047186934,12.0,1.0
5,oracle,0.2,10.716,8.208298230834036,12.0,1.0
6,oracle,0.2,10.392,8.43245947568541,12.0,1.0
7,oracle,0.2,9.384,7.336641685233948,10.0,1.0
8,oracle,0.2,11.072,8.291632818846466,12.0,1.0
9,oracle,0.2,10.068,8.430441898527006,12.0,1.0
10,oracle,0.2,10.448,8.884225466342254,13.0,1.0
11,oracle,0.2,11.392,8.996548924076329,12.0,1.0
12,oracle,0.2,9.924,7.686778176025488,11.0,1.0
13,oracle,0.2,10.572,8.314390095392733,12.0,1.0
14,oracle,0.2,9.968,7.6824512534818945,11.0,1.0
15,oracle,0.2,9.956,7.850681414181316,11.0,1.0
16,oracle,0.2,9.896,7.943184649887865,11.0,1.0
17,oracle,0.2,11.2,8.387931034482758,12.0,1.0
18,oracle,0.2,11.08,8.219789132197892,12.0,1.0
19,oracle,0.2,10.832,8.248355590990633,12.0,1.0
20,oracle,0.2,9.936,8.009274193548388,11.0,1.0
21,oracle,0.2,10.144,8.9818401937046,12.0,1.0
22,oracle,0.2,10.048,8.123073675321933,11.0,1.0
23,oracle,0.2,11.2,9.69483080755657,12.0,1.0
24,oracle,0.2,9.92,8.062713567839197,11.0,1.0
25,oracle,0.2,10.384,7.950696900353651,11.0,1.0
26,oracle,0.2,11.88,8.859609455292908,13.0,1.0
27,oracle,0.2,10.172,7.862725248025916,11.0,1.0
28,oracle,0.2,10.2,7.8449817147501015,11.0,1.0
29,oracle,0.2,10.936,8.306467862180133,12.0,1.0
30,oracle,0.2,8.988,8.136726331679965,10.0,1.0
31,oracle,0.2,9.632,7.952006452913894,11.0,1.0
32,oracle,0.2,10.9,8.22449388655041,12.0,1.0
33,oracle,0.2,11.144,8.955852156057494,12.0,1.0
34,oracle,0.2,10.556,8.768463073852296,12.0,1.0
35,oracle,0.2,12.656,8.927041228779304,14.0,1.0
36,oracle,0.2,10.596,8.344127111826227,12.0,1.0
37,oracle,0.2,11.296,9.57187696170747,13.0,1.0
38,oracle,0.2,9.712,8.290244881573665,11.0,1.0
39,oracle,0.2,10.192,7.715466827989514,11.0,1.0
40,oracle,0.2,9.924,8.71607178866707,11.0,1.0
41,oracle,0.2,9.944,8.01950426655831,11.0,1.0
42,oracle,0.2,9.824,8.326709893327756,11.0,1.0
43,oracle,0.2,9.36,7.720050441361916,11.0,1.0
44,oracle,0.2,9.992,7.975945017182131,11.0,1.0
45,oracle,0.2,9.896,8.225993212218007,11.0,1.0
46,oracle,0.2,10.432,8.333826013513514,12.0,1.0
47,oracle,0.2,10.316,7.8553243079409985,11.0,1.0
48,oracle,0.2,10.016,7.979924717691342,11.0,1.0
49,oracle,0.2,10.352,7.890576883596798,11.0,1.0
