net,q,scheme,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
32,0.5,bsps,15.648,543.6437252525253,0.05992894414189564,0.9347474747474747,34.4477151090984,115.0,36.5,68.86,0.4611195643469208,0.7411639649216051,0,0.21963771099217785,1.0
33,0.5,bsps,15.468,548.4395111111112,0.06520607312077902,1.006949494949495,34.08667992047714,115.0,34.872,70.58,0.45785540493569693,0.7405130946018172,0,0.21192842942345924,1.0
34,0.5,bsps,14.44,542.9697010101011,0.0644037222037222,0.9287676767676768,33.67092866756393,114.0,37.084,67.832,0.4666107382550336,0.7428571428571429,0,0.2117541498429789,1.0
35,0.5,bsps,19.104,542.2171555555556,0.047188341539312555,0.8984646464646464,34.87630057803468,118.0,35.26,69.764,0.4587806927457754,0.7541678440237355,0,0.2048169556840077,1.0
36,0.5,bsps,15.596,540.4254500000001,0.05670436702458761,0.88175,35.18174204355109,115.0,35.032,64.544,0.46292388847023364,0.7520100502512563,0,0.22340871021775544,1.0
37,0.5,bsps,16.452,547.4396378947368,0.06048660881186056,0.992842105263158,34.10970024979184,116.0,34.628,67.3,0.4626220886551465,0.743391360412637,0,0.20149875104079934,1.0
38,0.5,bsps,13.996,544.1238707070706,0.06755781793963613,0.9444848484848485,34.54793158313445,114.0,36.212,67.804,0.4597126299912678,0.7389187804253139,0,0.2243436754176611,1.0
39,0.5,bsps,14.716,544.4357090909091,0.06425015873741365,0.9432323232323233,32.61847233047545,114.0,35.288,69.048,0.4606479481641469,0.7507482993197279,0,0.20849571317225254,1.0
40,0.5,bsps,14.408,547.1050303030304,0.06896814162598476,0.9864646464646464,33.145106637432725,114.0,35.448,68.908,0.4633877931092864,0.7471632237416351,0,0.20530197329081123,1.0
41,0.5,bsps,14.72,543.1987111111112,0.06297908790555849,0.9258181818181818,35.14405737704918,115.0,35.752,67.316,0.4620745542949757,0.7420765027322405,0,0.225,1.0
42,0.5,bsps,14.092,544.7977333333334,0.06771855715091009,0.9524040404040404,33.184928716904274,114.0,36.304,68.364,0.4639820311246591,0.7470288624787776,0,0.2130346232179226,1.0
43,0.5,bsps,14.408,544.4254610526317,0.06571603977377971,0.9414736842105262,33.7402228976697,115.0,33.724,65.016,0.459990749306198,0.7445382323733863,0,0.2237082066869301,1.0
44,0.5,bsps,15.004,542.3837090909092,0.061153176235529176,0.9162020202020202,34.64358494489499,115.0,37.068,68.308,0.4609850581073603,0.7437029343027785,0,0.22249948014140153,1.0
45,0.5,bsps,13.908,544.0175555555555,0.06792272912272912,0.9441212121212121,33.796128760782665,114.0,36.312,67.468,0.4640227974352885,0.7306207306207306,0,0.218388386282348,1.0
46,0.5,bsps,15.46,544.0481265306122,0.06103923126658168,0.9421632653061224,34.20029148448886,115.0,35.74,67.688,0.4640750892931307,0.7497832996243861,0,0.21153445763064752,1.0
47,0.5,bsps,14.956,542.7002424242424,0.06090593197652021,0.9088888888888887,33.68450039339103,114.0,35.564,68.572,0.46049169235395837,0.7508930697785187,0,0.21675845790715972,1.0
48,0.5,bsps,15.024,542.9041836734694,0.06120041734642575,0.9177142857142858,35.022736418511066,115.0,36.088,68.26,0.45674113689295265,0.7420015357051446,0,0.22655935613682093,1.0
49,0.5,bsps,14.804,542.2979595959596,0.061576120792787466,0.9093333333333332,34.21232876712329,114.0,36.204,68.088,0.46159730722154224,0.744653767820774,0,0.22320709105560033,1.0
0,0.5,ewma,15.512,541.775555102041,0.058881784414170524,0.9086530612244899,34.8094416900194,115.0,36.664,66.364,0.4635561366236313,0.7425968109339408,0,0.22289286484156068,1.0
1,0.5,ewma,14.82,546.7376444444444,0.0661178023501553,0.9780202020202021,33.47130896467225,115.0,35.596,69.264,0.4635317568179759,0.7394957983193278,0,0.2025730038799265,1.0
2,0.5,ewma,15.82,546.0592080808082,0.061087436238416636,0.9641212121212122,33.95411716509627,115.0,34.892,69.668,0.4644513789322763,0.7447686413203655,0,0.20811142974190905,1.0
3,0.5,ewma,14.38,544.6364693877551,0.06602176880742305,0.9463265306122448,33.27679259830378,114.0,35.12,68.524,0.45468958611481974,0.7368027888446215,0,0.22147262914417887,1.0
4,0.5,ewma,14.244,543.4249171717173,0.06546639944857413,0.930141414141414,35.3794483049063,114.0,36.452,67.504,0.4601055324592261,0.7316942811330839,0,0.23268056432933248,1.0
5,0.5,ewma,15.288,543.4820750000001,0.06081281924094424,0.9281666666666666,33.367606529573884,115.0,35.004,66.764,0.4631578947368421,0.738865836791148,0,0.21327114691541235,1.0
6,0.5,ewma,15.432,546.2368363636364,0.06324048844363601,0.9712323232323232,35.416076128771,115.0,34.992,68.996,0.45699845811204387,0.740460010454783,0,0.22534926098400485,1.0
7,0.5,ewma,13.824,543.5203111111111,0.06712310097310098,0.9259797979797979,33.770684667309546,114.0,35.968,68.74,0.4562178072111847,0.7369992535456581,0,0.2244937319189971,1.0
8,0.5,ewma,17.028,541.7483272727274,0.05320369970204851,0.9012525252525252,34.46481178396072,116.0,36.904,68.972,0.46115181461918553,0.739749430523918,0,0.2107201309328969,1.0
9,0.5,ewma,15.772,541.4717454545455,0.05768090013033253,0.902020202020202,35.025586804821316,116.0,38.132,68.056,0.46303627696533894,0.7493789677063207,0,0.2180164939733559,1.0
10,0.5,ewma,16.296,546.7211191919192,0.060221643879951416,0.9785858585858587,34.38370253164557,117.0,35.588,68.744,0.4605631611698818,0.7449922958397535,0,0.21340981012658228,1.0
11,0.5,ewma,16.656,543.2026383838385,0.05586471834170492,0.9293333333333332,35.66195977749251,116.0,36.928,68.94,0.4642916459059957,0.7423366107576634,0,0.21908429610611896,1.0
12,0.5,ewma,14.24,543.6529979797981,0.06565678336979584,0.930989898989899,33.564438179621426,114.0,35.748,68.312,0.46003538115149567,0.7372836916622968,0,0.220700765203383,1.0
13,0.5,ewma,15.08,545.6801898989899,0.06352578543460898,0.9571717171717172,33.20221445221445,114.0,34.936,69.364,0.4569239546825332,0.7503139914594323,0,0.21017871017871018,1.0
14,0.5,ewma,14.076,541.9987838383838,0.06492897657897657,0.9126060606060605,32.235115431348724,113.0,37.056,67.852,0.4647853924590941,0.7438177271464296,0,0.2069663831510733,1.0
15,0.5,ewma,14.212,544.7148565656566,0.06692965383794261,0.948929292929293,32.06359649122807,114.0,36.548,70.0,0.46040438079191237,0.7473829201101928,0,0.2025518341307815,1.0
16,0.5,ewma,14.92,544.6371654320988,0.06380072927556588,0.9506172839506173,32.963249516441,115.0,29.196,55.852,0.4600632459451188,0.7505938242280285,0,0.20889748549323017,1.0
17,0.5,ewma,15.756,545.886325,0.06145235592634489,0.9665416666666667,34.255046257359126,115.0,34.984,68.568,0.4580940416367552,0.7376594564614531,0,0.21783010933557612,1.0
18,0.5,ewma,15.772,542.7348282828283,0.05833270534839163,0.9173333333333333,35.27812370278124,115.0,36.056,68.328,0.4629996696399075,0.7314662273476112,0,0.23100871731008718,1.0
19,0.5,ewma,15.86,545.0524282828283,0.06028585056918391,0.9547070707070706,33.15301724137931,115.0,35.572,69.444,0.46012119226989845,0.7486800422386484,0,0.20454545454545456,1.0
20,0.5,ewma,14.184,545.9005454545455,0.06812016643487231,0.9646868686868686,33.11458937198068,114.0,35.256,68.876,0.46145059965733864,0.7373764360138926,0,0.2144927536231884,1.0
21,0.5,ewma,14.392,545.4289656565658,0.06697079630609042,0.9586262626262626,33.134579823299774,115.0,35.332,67.704,0.46707867839315426,0.744303048239124,0,0.20484898294637355,1.0
