net,n,scheme,p,reachable,nodes,delta_T,depth,tree_frame,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
8,25,bsps,0.2,1.0,25,9,3,14,9.56,526.2276666666668,0.06723464914714916,0.6391666666666668,39.95375722543353,110.0,9.32,15.6,0.44826597879048435,0.7105471847739889,0,0.3236994219653179,1.0
9,25,bsps,0.2,1.0,25,11,3,14,9.696,523.0027500000001,0.06019478068228068,0.5801666666666666,42.50242326332795,110.0,9.404,15.512,0.44326343004883656,0.6910953506698188,0,0.35379644588045234,1.0
10,25,bsps,0.2,1.0,25,11,3,13,9.092,523.7245666666668,0.06505216450216449,0.5901666666666667,40.89804241435563,109.0,9.536,15.824,0.44100447196422426,0.6898444647758463,0,0.3466557911908646,1.0
11,25,bsps,0.2,1.0,25,7,4,10,7.692,537.0791666666668,0.10840800264550265,0.8333333333333333,38.88676103247294,108.0,9.312,16.544,0.44065335753176044,0.6733668341708543,0,0.32306411323896755,1.0
12,25,bsps,0.2,1.0,25,7,3,12,8.996,530.0374833333334,0.07867499398749397,0.7083333333333333,42.92196776929601,109.0,9.364,16.024,0.4405186385737439,0.6832618025751073,0,0.35793044953350295,1.0
13,25,bsps,0.2,1.0,25,7,3,10,8.528,532.4987333333333,0.08779520202020202,0.7461666666666666,39.39531123686338,109.0,9.336,16.504,0.43658536585365854,0.679646017699115,0,0.32740501212611156,1.0
14,25,bsps,0.2,1.0,25,9,3,12,8.952,527.9086000000001,0.0746340909090909,0.6655,38.985144644253324,109.0,9.384,16.128,0.4418765091410831,0.6948228882833788,0,0.3229085222830336,1.0
15,25,bsps,0.2,1.0,25,8,3,12,8.792,530.3309500000001,0.08168339345839346,0.714,38.21190476190476,109.0,9.34,16.064,0.44402661266994503,0.7022428460943542,0,0.3134920634920635,1.0
16,25,bsps,0.2,1.0,25,10,3,13,9.012,523.3164666666667,0.0656525553150553,0.5911666666666666,43.42188879082083,109.0,9.736,15.592,0.44507632445375633,0.6816220880069025,0,0.36893203883495146,1.0
17,25,bsps,0.2,1.0,25,6,4,13,8.824,539.3410166666667,0.09852377946127946,0.865,38.52396694214876,110.0,9.028,16.64,0.44489657511020686,0.6917221693625119,0,0.31074380165289256,1.0
18,25,bsps,0.2,0.92,23,8,3,11,7.624,526.9243636363636,0.08548448773448773,0.6510909090909092,41.02114537444934,108.0,8.44,14.288,0.4416475972540046,0.6977329974811083,0,0.3524229074889868,1.0
19,25,bsps,0.2,1.0,25,8,3,13,9.42,527.5162333333334,0.0707305796055796,0.6665,40.49308380797396,110.0,9.616,16.048,0.44302585381423554,0.683974932855864,0,0.33279088689991865,1.0
20,25,bsps,0.2,1.0,25,9,3,14,9.428,526.1795500000001,0.06781495032745033,0.6391666666666668,42.917559769167354,109.0,9.28,15.596,0.4413561392791692,0.6835236541598695,0,0.3577906018136851,1.0
21,25,bsps,0.2,0.96,24,13,3,15,10.088,518.9495826086958,0.05020044207000728,0.5034782608695653,43.90088495575221,110.0,9.264,14.82,0.4430422919508868,0.6835205992509363,0,0.36902654867256635,1.0
22,25,bsps,0.2,0.92,23,8,2,13,9.552,526.4210181818182,0.06703152705879978,0.6447272727272727,40.219730941704036,110.0,8.772,14.628,0.44482522275531183,0.7033271719038817,0,0.33004484304932735,1.0
23,25,bsps,0.2,1.0,25,12,3,15,10.184,522.9716,0.0568600135975136,0.5735,41.40826446280992,111.0,9.712,16.0,0.4429957550030321,0.6855241264559068,0,0.33801652892561984,1.0
24,25,bsps,0.2,0.84,21,8,3,12,8.676,525.8693600000001,0.07255127705627706,0.6304,38.064922480620154,109.0,7.872,13.24,0.44696673189823877,0.7111111111111111,0,0.312015503875969,1.0
25,25,bsps,0.2,1.0,25,12,3,15,10.104,520.58,0.05370559995559995,0.5375,41.74163090128755,110.0,9.68,15.432,0.4484899802427321,0.6951118475559238,0,0.3424892703862661,1.0
