net,scheme,p,reachable,nodes,delta_T,depth,tree_frame,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
24,csma,0.1,1.0,100,10,6,18,18.0,1368.2507434343436,1.0,18.0,14.422241158926289,101.0,nan,nan,nan,nan,0,0.0,0.9448470209339774
25,csma,0.1,0.99,99,11,5,18,18.0,1365.3674775510208,1.0,18.0,14.43468667255075,101.0,nan,nan,nan,nan,0,0.0,0.9321266968325792
26,csma,0.1,1.0,100,10,5,20,20.0,1456.6224444444445,1.0,20.0,11.636287274254515,19.0,nan,nan,nan,nan,0,0.0,0.9612434396447316
27,csma,0.1,1.0,100,12,6,19,19.0,1403.7477090909094,1.0,19.0,11.644385026737968,19.0,nan,nan,nan,nan,0,0.0,0.9272727272727272
28,csma,0.1,1.0,100,13,5,18,18.0,1366.561672727273,1.0,18.0,13.120234604105573,18.0,nan,nan,nan,nan,0,0.0,0.9371809972516686
29,csma,0.1,1.0,100,9,5,18,18.0,1359.9938666666667,1.0,18.0,13.835299257317606,18.0,nan,nan,nan,nan,0,0.0,0.9408138101109741
30,csma,0.1,0.93,93,11,6,19,19.0,1409.5628130434784,1.0,19.0,12.022801302931596,18.0,nan,nan,nan,nan,0,0.0,0.9542628774422736
31,csma,0.1,1.0,100,9,6,17,17.0,1318.3671595959595,1.0,17.0,15.097708603545179,101.0,nan,nan,nan,nan,0,0.0,0.9410089503661514
32,csma,0.1,1.0,100,10,6,20,20.0,1454.8904121212124,1.0,20.0,11.717550668391548,19.0,nan,nan,nan,nan,0,0.0,0.951579811243332
33,csma,0.1,1.0,100,12,6,19,19.0,1409.379696969697,1.0,19.0,13.83018056749785,19.0,nan,nan,nan,nan,0,0.0,0.9474541751527495
34,csma,0.1,1.0,100,8,6,18,18.0,1366.6751595959597,1.0,18.0,15.2751873438801,102.0,nan,nan,nan,nan,0,0.0,0.954310687326182
35,csma,0.1,1.0,100,19,5,24,24.0,1638.1239030303034,1.0,24.0,10.347553324968633,21.0,nan,nan,nan,nan,0,0.0,0.9450592885375494
36,csma,0.1,0.97,97,12,5,21,21.0,1499.0574125,1.0,21.0,10.180096873623954,19.0,nan,nan,nan,nan,0,0.0,0.9582278481012658
37,csma,0.1,0.96,96,7,7,21,21.0,1503.595305263158,1.0,21.0,12.199141630901288,20.0,nan,nan,nan,nan,0,0.0,0.9612211221122112
38,csma,0.1,1.0,100,9,6,17,17.0,1318.804775757576,1.0,17.0,17.44122731201383,104.0,nan,nan,nan,nan,0,0.0,0.9605645496056455
