net,burst,scheme,p,reachable,nodes,tree_frame,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
13,10,bsps,0.2,1.0,100,18,15.056,545.012686868687,0.06297202017300058,0.9465454545454545,16.12704663212435,17.0,34.716,68.732,0.4936862003780718,0.9457851239669421,0,0.03875647668393782,1.0
14,10,bsps,0.2,1.0,100,18,14.424,545.4851070707073,0.0664513542013542,0.9573333333333334,15.367947178871548,16.0,34.508,68.844,0.49352043554942104,0.9464007478965409,0,0.039015606242496996,1.0
15,10,bsps,0.2,1.0,100,18,13.848,546.7339474747475,0.07027674732674731,0.9713939393939395,15.621532091097308,15.0,34.208,69.904,0.49276665304454437,0.9467075038284839,0,0.040372670807453416,1.0
16,10,bsps,0.2,0.82,82,20,14.788,545.7216246913581,0.06522820175870285,0.9634074074074074,16.12209757370206,17.0,28.212,55.904,0.49335016017862343,0.9465087790935075,0,0.04096008348552048,1.0
17,10,bsps,0.2,0.97,97,20,15.784,546.8229291666667,0.061845363225418365,0.9750416666666667,16.258667787350284,17.0,33.444,68.136,0.4931369266822899,0.947180585296217,0,0.03677243118302164,1.0
18,10,bsps,0.2,1.0,100,20,15.732,545.2418464646465,0.06059515430103666,0.9515151515151515,15.651577222449816,17.0,34.728,69.332,0.49460502480901003,0.9547985587946283,0,0.03420729209340434,1.0
19,10,bsps,0.2,1.0,100,19,15.568,544.4838626262627,0.06076042780748663,0.9445656565656566,16.274251751220547,17.0,35.156,68.66,0.4935877385048483,0.9498754669987547,0,0.04011887072808321,1.0
20,10,bsps,0.2,1.0,100,18,14.332,547.3195030303032,0.06871266282736872,0.9834343434343435,15.889558623371572,16.0,34.184,69.324,0.49266885041335207,0.9446192573945877,0,0.04102663814894031,1.0
21,10,bsps,0.2,1.0,100,18,14.42,548.2567313131314,0.06914502284208165,0.995070707070707,16.780977489353074,17.0,33.5,68.648,0.4929621766139813,0.9479134937557112,0,0.04076252281484486,1.0
22,10,bsps,0.2,0.97,97,17,14.256,546.1101291666666,0.06778944597069597,0.9655416666666667,16.04107933950866,16.0,33.08,66.06,0.49322365844104976,0.9468315301391036,0,0.03886427708417237,1.0
23,10,bsps,0.2,0.97,97,19,15.476,549.3457125000001,0.06576429921861907,1.018125,16.97053872053872,17.0,33.248,68.108,0.49412262156448206,0.9514529914529914,0,0.03493265993265993,1.0
24,10,bsps,0.2,1.0,100,18,14.532,548.0114303030305,0.06849537326738753,0.9937777777777779,16.02875461433845,17.0,33.18,68.832,0.49387855044074436,0.9544334975369458,0,0.034388964445307944,1.0
25,10,bsps,0.2,0.99,99,18,15.124,544.8272040816327,0.06259444151286889,0.946,15.728682170542635,16.0,34.58,68.088,0.4941915227629513,0.9495016611295681,0,0.03768303186907838,1.0
26,10,bsps,0.2,1.0,100,20,16.32,543.3276080808081,0.05687553391263401,0.9273131313131314,16.555460932510112,18.0,34.956,67.872,0.49386627670809974,0.9457450761798588,0,0.03938684266553119,1.0
27,10,bsps,0.2,1.0,100,19,14.268,547.2638464646465,0.06877566137566136,0.9793939393939395,14.792041591681663,16.0,33.984,70.256,0.4927571814387429,0.948796098750381,0,0.038792241551689664,1.0
28,10,bsps,0.2,1.0,100,18,14.444,543.2059111111112,0.06386325325496449,0.9193131313131312,15.569952469518496,16.0,34.772,67.984,0.49346811819595643,0.9480891719745222,0,0.04091754494730316,1.0
29,10,bsps,0.2,1.0,100,18,15.128,546.3295717171718,0.06434661782241761,0.9719595959595958,15.669670928526514,17.0,34.408,69.308,0.4939258051365675,0.9510887772194305,0,0.035841542653531754,1.0
