net,sigma,scheme,p,reachable,nodes,delta_T,depth,tree_frame,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
16,20,static,0.2,1.0,100,25,4,33,33.0,546.7256686868689,0.031952249770431596,1.0544242424242425,25.419586150379022,33.0,68.612,99.0,0.0,1.0,0,0.0,1.0
17,20,static,0.2,1.0,100,15,4,28,28.0,551.0123717171717,0.040911976911976906,1.1455353535353534,24.351578515785157,28.0,69.592,99.0,0.0,1.0,0,0.0,1.0
18,20,static,0.2,1.0,100,25,4,33,33.0,545.464597979798,0.031407407407407405,1.0364444444444443,27.50253292806484,33.0,70.392,99.0,0.0,1.0,0,0.0,1.0
19,20,static,0.2,1.0,100,20,4,30,30.0,549.3922868686869,0.03692525252525252,1.1077575757575757,24.176234443998393,30.0,68.332,99.0,0.0,1.0,0,0.0,1.0
20,20,static,0.2,1.0,100,20,4,32,32.0,548.4748282828283,0.034255050505050504,1.0961616161616161,25.824710894704808,32.0,69.48,99.0,0.0,1.0,0,0.0,1.0
21,20,static,0.2,1.0,100,23,4,31,31.0,546.9142222222224,0.034364288041707394,1.0652929292929294,23.487644479872458,31.0,69.536,99.0,0.0,1.0,0,0.0,1.0
22,20,static,0.2,1.0,100,19,4,28,28.0,548.2015393939396,0.03915007215007215,1.0962020202020204,22.53460764587525,28.0,70.476,99.0,0.0,1.0,0,0.0,1.0
23,20,static,0.2,1.0,100,20,4,32,32.0,548.8561333333334,0.03443308080808081,1.1018585858585859,25.764585883312932,32.0,68.916,99.0,0.0,1.0,0,0.0,1.0
24,20,static,0.2,1.0,100,18,4,26,26.0,549.4747353535354,0.04290753690753691,1.1155959595959595,21.339782345828294,26.0,69.556,99.0,0.0,1.0,0,0.0,1.0
25,20,static,0.2,1.0,100,20,4,29,29.0,548.7677898989899,0.03792406826889585,1.0997979797979798,22.8685211126676,29.0,69.12,99.0,0.0,1.0,0,0.0,1.0
26,20,static,0.2,1.0,100,19,4,28,28.0,548.8641858585859,0.03936796536796537,1.1023030303030306,22.838188347964884,28.0,69.872,99.0,0.0,1.0,0,0.0,1.0
27,20,static,0.2,0.98,98,35,4,43,43.0,539.3988701030929,0.021355070726444495,0.9182680412371135,34.76161244117045,43.0,69.928,97.0,0.0,1.0,0,0.0,1.0
28,20,static,0.2,1.0,100,25,4,33,33.0,546.8536404040404,0.03199020508111417,1.0556767676767678,26.72169333603403,33.0,68.488,99.0,0.0,1.0,0,0.0,1.0
29,20,static,0.2,1.0,100,15,4,28,28.0,552.2759474747476,0.0413924963924964,1.1589898989898988,24.38742061053063,28.0,68.26,99.0,0.0,1.0,0,0.0,1.0
30,20,static,0.2,1.0,100,21,3,31,31.0,548.7357050505051,0.03535353535353535,1.095959595959596,23.95112706961899,31.0,68.5,99.0,0.0,1.0,0,0.0,1.0
31,20,static,0.2,1.0,100,22,4,30,30.0,547.6042262626262,0.035873400673400675,1.0762020202020202,22.992783505154637,29.0,69.456,99.0,0.0,1.0,0,0.0,1.0
32,20,static,0.2,1.0,100,17,4,28,28.0,549.1631717171717,0.03981385281385281,1.1147878787878789,22.41959487391484,28.0,70.636,99.0,0.0,1.0,0,0.0,1.0
33,20,static,0.2,1.0,100,22,4,28,28.0,547.8144484848485,0.03843578643578644,1.0762020202020204,22.831679237792773,28.0,69.456,99.0,0.0,1.0,0,0.0,1.0
34,20,static,0.2,1.0,100,19,4,30,30.0,550.1411353535354,0.037259259259259256,1.1177777777777778,24.057035721334124,30.0,68.34,99.0,0.0,1.0,0,0.0,1.0
35,20,static,0.2,1.0,100,20,4,31,31.0,548.3661494949495,0.03526881720430107,1.0933333333333333,26.855299722111948,31.0,69.76,99.0,0.0,1.0,0,0.0,1.0
36,20,static,0.2,1.0,100,19,4,31,31.0,548.9309414141416,0.03567285760834148,1.1058585858585859,26.236972704714642,31.0,69.52,99.0,0.0,1.0,0,0.0,1.0
37,20,static,0.2,1.0,100,22,3,32,32.0,546.9640888888889,0.03344444444444444,1.0702222222222222,26.854508196721312,32.0,70.048,99.0,0.0,1.0,0,0.0,1.0
38,20,static,0.2,1.0,100,28,4,36,36.0,542.9729414141415,0.027572390572390575,0.9926060606060605,30.911639244363194,36.0,71.732,99.0,0.0,1.0,0,0.0,1.0
39,20,static,0.2,1.0,100,29,4,38,38.0,543.6934262626263,0.026278575225943648,0.9985858585858587,31.452062985848116,38.0,70.14,99.0,0.0,1.0,0,0.0,1.0
0,20,bsps,0.2,1.0,100,20,4,30,22.1,534.6986383838384,0.03578779742705771,0.7875151515151515,53.1268080047553,122.0,37.14,64.912,0.4419409521118802,0.6916885061774616,0,0.35169407568852784,1.0
1,20,bsps,0.2,1.0,100,24,4,33,23.204,532.4856484848486,0.03251224280069097,0.751030303030303,51.83462071697366,122.0,37.656,64.8,0.44358641426911777,0.6934972983044532,0,0.3412556941968707,1.0
2,20,bsps,0.2,1.0,100,19,4,30,21.356,534.7402222222222,0.037190150285292475,0.7914343434343434,51.27681246255243,121.0,37.42,65.224,0.44253521126760564,0.6911320754716981,0,0.3489115238665868,1.0
3,20,bsps,0.2,1.0,100,24,4,33,23.512,533.1089616161618,0.03254968702629488,0.7617777777777777,50.40241967473225,122.0,38.404,65.748,0.44513301088270857,0.6967281879194631,0,0.325267750892503,1.0
4,20,bsps,0.2,1.0,100,18,4,28,20.696,535.0869292929293,0.038701541693762755,0.7984242424242423,51.70983506414172,121.0,37.784,65.116,0.44437086092715233,0.6906313645621182,0,0.3473834249643657,1.0
